Instance,LDEG,GDEG,Dummy-HyperHeuristic,Genetic-HyperHeuristic
1000_ep0.0125_0_gilbert_8.in,0.996,0.996,0.996,0.996
1000_r0.05_0_geom_4.gin,0.954,0.957,0.954,0.957
500_ep0.015_0_gilbert_5.in,0.99,0.99,0.99,0.99
1000_r0.05_0_geom_5.gin,0.963,0.964,0.964,0.964
1000_ep0.0075_0_gilbert_5.in,0.994,0.994,0.994,0.994
50_r0.334_0_geom_5.gin,0.92,0.92,0.92,0.92
100_r0.195_0_geom_5.gin,0.94,0.94,0.94,0.94
100_ep0.125_0_gilbert_6.in,0.97,0.97,0.97,0.97
50_ep0.2_0_gilbert_1.in,0.94,0.94,0.94,0.94
50_r0.299_0_geom_1.gin,0.8,0.88,0.8,0.88
1000_ep0.0125_0_gilbert_3.in,0.996,0.996,0.996,0.996
1000_ep0.01_0_gilbert_5.in,0.995,0.995,0.995,0.995
50_ep0.25_0_gilbert_2.in,0.94,0.94,0.94,0.94
500_r0.093_0_geom_1.gin,0.97,0.972,0.97,0.972
500_ep0.025_0_gilbert_7.in,0.992,0.992,0.992,0.992
1000_ep0.0125_0_gilbert_7.in,0.996,0.996,0.996,0.996
1000_ep0.01_0_gilbert_1.in,0.996,0.996,0.996,0.996
50_ep0.25_0_gilbert_6.in,0.96,0.96,0.96,0.96
1000_r0.065_0_geom_8.gin,0.982,0.982,0.982,0.982
50_r0.259_0_geom_8.gin,0.64,0.74,0.74,0.74
500_r0.093_0_geom_2.gin,0.968,0.968,0.968,0.968
100_ep0.075_0_gilbert_4.in,0.96,0.96,0.96,0.96
500_r0.093_0_geom_10.gin,0.972,0.972,0.972,0.972
500_ep0.025_0_gilbert_3.in,0.992,0.992,0.992,0.992
100_ep0.125_0_gilbert_9.in,0.96,0.97,0.97,0.97
500_r0.093_0_geom_3.gin,0.976,0.976,0.976,0.976
50_r0.259_0_geom_9.gin,0.9,0.9,0.9,0.9
1000_ep0.0125_0_gilbert_10.in,0.995,0.995,0.995,0.995
1000_r0.065_0_geom_9.gin,0.984,0.984,0.984,0.984
1000_ep0.0125_0_gilbert_6.in,0.996,0.996,0.996,0.996
50_ep0.25_0_gilbert_7.in,0.94,0.96,0.96,0.96
500_r0.093_0_geom_7.gin,0.968,0.97,0.97,0.97
100_ep0.075_0_gilbert_5.in,0.96,0.96,0.96,0.96
500_r0.083_0_geom_9.gin,0.97,0.97,0.97,0.97
500_ep0.025_0_gilbert_2.in,0.992,0.992,0.992,0.992
500_r0.083_0_geom_8.gin,0.968,0.968,0.968,0.968
500_r0.093_0_geom_6.gin,0.968,0.97,0.968,0.97
100_ep0.125_0_gilbert_8.in,0.97,0.97,0.97,0.97
500_r0.083_0_geom_10.gin,0.964,0.962,0.962,0.962
50_ep0.25_0_gilbert_10.in,0.94,0.94,0.94,0.94
100_r0.219_0_geom_9.gin,0.93,0.93,0.93,0.93
100_r0.169_0_geom_10.gin,0.91,0.91,0.91,0.91
1000_ep0.0125_0_gilbert_2.in,0.996,0.996,0.996,0.996
1000_ep0.01_0_gilbert_4.in,0.995,0.995,0.995,0.995
50_ep0.25_0_gilbert_3.in,0.94,0.94,0.94,0.94
500_r0.093_0_geom_4.gin,0.968,0.97,0.968,0.97
100_ep0.075_0_gilbert_1.in,0.96,0.96,0.96,0.96
500_r0.093_0_geom_5.gin,0.972,0.972,0.972,0.972
500_ep0.025_0_gilbert_6.in,0.992,0.992,0.992,0.992
100_r0.219_0_geom_8.gin,0.93,0.93,0.93,0.93
1000_ep0.0125_0_gilbert_5.in,0.996,0.996,0.996,0.996
50_ep0.1_0_gilbert_6.in,0.88,0.9,0.88,0.9
500_ep0.015_0_gilbert_8.in,0.99,0.99,0.99,0.99
1000_ep0.01_0_gilbert_3.in,0.995,0.995,0.995,0.995
100_ep0.1_0_gilbert_9.in,0.96,0.97,0.96,0.97
100_ep0.075_0_gilbert_6.in,0.96,0.96,0.96,0.96
500_ep0.02_0_gilbert_9.in,0.992,0.992,0.992,0.992
500_ep0.025_0_gilbert_1.in,0.992,0.992,0.992,0.992
100_ep0.05_0_gilbert_8.in,0.94,0.95,0.94,0.95
1000_ep0.0075_0_gilbert_8.in,0.994,0.994,0.994,0.994
1000_ep0.0125_0_gilbert_1.in,0.996,0.996,0.996,0.996
1000_ep0.01_0_gilbert_7.in,0.996,0.996,0.996,0.996
50_ep0.1_0_gilbert_2.in,0.9,0.9,0.9,0.9
100_ep0.075_0_gilbert_2.in,0.96,0.96,0.96,0.96
500_ep0.025_0_gilbert_5.in,0.992,0.992,0.992,0.992
50_ep0.2_0_gilbert_8.in,0.94,0.94,0.94,0.94
50_ep0.15_0_gilbert_9.in,0.92,0.92,0.92,0.92
